wsi,has_angiogenesis,angiogenesis_path,has_cell_cycle,cell_cycle_path,has_epithelial_mesenchymal_transition,epithelial_mesenchymal_transition_path,has_immunosuppression,immunosuppression_path,has_t_cell_mediated_cytotoxicity,t_cell_mediated_cytotoxicity_path
TCGA-EW-A1PF-01A-01-TSA.580b69ef-3776-4444-9361-e85f183b5b57,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/cell_cycle/TCGA-EW-A1PF-01A-01-TSA.580b69ef-3776-4444-9361-e85f183b5b57,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-EW-A1PF-01A-01-TSA.580b69ef-3776-4444-9361-e85f183b5b57,0,
TCGA-A2-A25A-01A-01-TSA.e00dd3e2-e129-4dc6-84a4-5a6385e8bb29,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/cell_cycle/TCGA-A2-A25A-01A-01-TSA.e00dd3e2-e129-4dc6-84a4-5a6385e8bb29,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-A2-A25A-01A-01-TSA.e00dd3e2-e129-4dc6-84a4-5a6385e8bb29,0,
TCGA-AR-A1AS-01A-01-TSA.235f24b3-d72a-419e-8f5c-ffc808dc06be,0,,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/epithelial_mesenchymal_transition/TCGA-AR-A1AS-01A-01-TSA.235f24b3-d72a-419e-8f5c-ffc808dc06be,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-AR-A1AS-01A-01-TSA.235f24b3-d72a-419e-8f5c-ffc808dc06be,0,
TCGA-B6-A1KF-01A-01-TS1.dd8b55e7-823a-4805-b2df-8b20a3e94a55,0,,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/epithelial_mesenchymal_transition/TCGA-B6-A1KF-01A-01-TS1.dd8b55e7-823a-4805-b2df-8b20a3e94a55,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-B6-A1KF-01A-01-TS1.dd8b55e7-823a-4805-b2df-8b20a3e94a55,0,
TCGA-A2-A0CT-01A-03-BSC.af279bd3-085c-4035-9a0d-bb02d801636e,0,,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/epithelial_mesenchymal_transition/TCGA-A2-A0CT-01A-03-BSC.af279bd3-085c-4035-9a0d-bb02d801636e,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-A2-A0CT-01A-03-BSC.af279bd3-085c-4035-9a0d-bb02d801636e,0,
TCGA-B6-A0I1-01A-01-BSA.6E0B6FB6-B708-4218-A709-D39E455D6700,0,,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/epithelial_mesenchymal_transition/TCGA-B6-A0I1-01A-01-BSA.6E0B6FB6-B708-4218-A709-D39E455D6700,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-B6-A0I1-01A-01-BSA.6E0B6FB6-B708-4218-A709-D39E455D6700
TCGA-AN-A0FX-01A-01-MS1.551cccdc-ebc5-4fbb-9120-40ab0187ee5e,0,,0,,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-AN-A0FX-01A-01-MS1.551cccdc-ebc5-4fbb-9120-40ab0187ee5e,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-AN-A0FX-01A-01-MS1.551cccdc-ebc5-4fbb-9120-40ab0187ee5e
TCGA-B6-A0RE-01A-01-BS1.b3d8a60d-a66a-4cf3-8616-edc125bf48f1,0,,0,,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-B6-A0RE-01A-01-BS1.b3d8a60d-a66a-4cf3-8616-edc125bf48f1,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-B6-A0RE-01A-01-BS1.b3d8a60d-a66a-4cf3-8616-edc125bf48f1
TCGA-A8-A07E-01A-01-TS1.6861c3fd-60df-457a-8d4f-28298d7d15c6,0,,0,,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-A8-A07E-01A-01-TS1.6861c3fd-60df-457a-8d4f-28298d7d15c6,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-A8-A07E-01A-01-TS1.6861c3fd-60df-457a-8d4f-28298d7d15c6
TCGA-A8-A086-01A-01-BSA.f75d10e3-5a89-4b4f-9b40-6bca77731bb2,0,,0,,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-A8-A086-01A-01-BSA.f75d10e3-5a89-4b4f-9b40-6bca77731bb2,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-A8-A086-01A-01-BSA.f75d10e3-5a89-4b4f-9b40-6bca77731bb2
TCGA-3C-AALK-01A-01-TSA.B64ED65E-C91A-42C9-89A5-1B099C7112C3,0,,0,,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-3C-AALK-01A-01-TSA.B64ED65E-C91A-42C9-89A5-1B099C7112C3,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-3C-AALK-01A-01-TSA.B64ED65E-C91A-42C9-89A5-1B099C7112C3
TCGA-A8-A086-01A-01-TSA.a432a95f-5863-4ad9-a2eb-7f986c62e096,0,,0,,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-A8-A086-01A-01-TSA.a432a95f-5863-4ad9-a2eb-7f986c62e096,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-A8-A086-01A-01-TSA.a432a95f-5863-4ad9-a2eb-7f986c62e096
TCGA-A2-A0EU-01A-02-MSB.44688c8e-aaff-4acd-b70e-d4c570a04317,0,,0,,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-A2-A0EU-01A-02-MSB.44688c8e-aaff-4acd-b70e-d4c570a04317,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-A2-A0EU-01A-02-MSB.44688c8e-aaff-4acd-b70e-d4c570a04317
TCGA-D8-A1XD-01A-01-TS1.c21dde19-2c65-4c17-ae8f-27371c2413d1,0,,0,,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-D8-A1XD-01A-01-TS1.c21dde19-2c65-4c17-ae8f-27371c2413d1,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-D8-A1XD-01A-01-TS1.c21dde19-2c65-4c17-ae8f-27371c2413d1
TCGA-D8-A146-01A-03-TSC.b6b31df5-0bf0-47fb-9806-b99e1357af43,0,,0,,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-D8-A146-01A-03-TSC.b6b31df5-0bf0-47fb-9806-b99e1357af43,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-D8-A146-01A-03-TSC.b6b31df5-0bf0-47fb-9806-b99e1357af43
TCGA-AN-A041-01A-01-MS1.c9e28ba7-a26c-45bb-8835-3394f969fecb,0,,0,,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-AN-A041-01A-01-MS1.c9e28ba7-a26c-45bb-8835-3394f969fecb,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-AN-A041-01A-01-MS1.c9e28ba7-a26c-45bb-8835-3394f969fecb
